year,month,all,student,faculty
2012,4,3049,2812,237
2012,5,2279,2074,205
2012,6,2365,2103,262
2012,7,3681,3396,285
2012,8,1368,1178,190
2012,9,2304,2122,182
2012,10,2903,2490,413
2012,11,2259,1980,279
2012,12,1709,1523,186
2013,1,3503,3224,279
2013,2,2241,1980,261
2013,3,2116,1918,198
2013,4,3098,2901,197
2013,5,2307,2034,273
2013,6,2581,2383,198
2013,7,4319,4064,255
2013,8,1376,1299,77
2013,9,2345,2044,301
2013,10,2335,1876,459
2013,11,876,773,103
2013,12,1287,1201,86
2014,1,3736,3497,239
2014,2,2384,2180,204
2014,3,1968,1761,207
2014,4,3100,2883,217
2014,5,2194,1942,252
2014,6,2222,1971,251
2014,7,4012,3734,278
2014,8,1259,1185,74
2014,9,2132,1859,273
2014,10,2919,2501,418
2014,11,2048,1858,190
2014,12,1862,1655,207
2015,1,3741,3487,254
2015,2,2161,1866,295
2015,3,2074,1809,265
2015,4,2805,2369,436
2015,5,2214,1897,317
2015,6,2448,2122,326
2015,7,3806,3512,294
2015,8,1390,1222,168
2015,9,1728,1628,100
2015,10,1521,1023,498
2015,11,1714,1574,140
2015,12,1735,1463,272
2016,1,3635,3321,314
2016,2,2243,2090,153
2016,3,1986,1779,207
2016,4,3068,2751,317
2016,5,2101,1781,320
2016,6,2644,2403,241
2016,7,4001,3765,236
2016,8,1184,1069,115
2016,9,2472,2169,303
2016,10,2817,2387,430
2016,11,2255,2084,171
2016,12,1770,1583,187
2017,1,3399,3122,277
2017,2,2126,1975,151
2017,3,1951,1685,266
2017,4,3071,2764,307
2017,5,2742,2447,295
2017,6,2532,2226,306
2017,7,3946,3676,270
2017,8,1355,1169,186
2017,9,2173,1899,274
2017,10,2831,2367,464
2017,11,2246,2030,216
2017,12,2029,1850,179
2018,1,3261,2999,262
2018,2,2044,1877,167
2018,3,2118,2006,112
2018,4,3075,2755,320
2018,5,2005,1809,196
2018,6,2581,2343,238
2018,7,3974,3698,276
2018,8,1221,1134,87
2018,9,2413,2253,160
2018,10,2841,2405,436
2018,11,2086,1874,212
2018,12,2582,2381,201
2019,1,3447,3176,271
2019,2,2274,2045,229
2019,3,1915,1737,178
2019,4,2869,2648,221
2019,5,2049,1892,157
2019,6,2440,2152,288
2019,7,3807,3529,278
2019,8,1262,1132,130
2019,9,2366,2189,177
2019,10,2588,2178,410
2019,11,2207,1950,257
2019,12,1639,1469,170
2020,1,3457,3198,259
2020,2,2306,2165,141
2020,3,1207,1012,195
2020,4,1120,879,241
2020,5,595,378,217
2020,6,1047,798,249
2020,7,2555,2301,254
2020,8,1087,900,187
2020,9,1289,1148,141
2020,10,1384,876,508
2020,11,1187,897,290
2020,12,877,699,178
2021,1,2511,2222,289
2021,2,1340,1143,197
2021,3,1596,1443,153
2021,4,2617,2244,373
2021,5,1799,1578,221
2021,6,1971,1817,154
2021,7,4137,3855,282
2021,8,1279,1147,132
2021,9,2126,1919,207
2021,10,2367,1918,449
2021,11,2302,2056,246
2021,12,1563,1430,133
2022,1,3469,3191,278
2022,2,2019,1810,209
2022,3,1832,1603,229
2022,4,2908,2538,370
2022,5,1918,1737,181
2022,6,2363,2168,195
2022,7,3730,3479,251
2022,8,1257,1147,110
2022,9,2124,1925,199
2022,10,2446,2019,427
2022,11,2225,1917,308
2022,12,1456,1336,120
2023,1,3204,2946,258
2023,2,2207,2009,198
2023,3,1707,1575,132
